Page ID	Topic	Page Type	Keyword	Meta Title	Meta Description	H1	H2	URL	Search Volume (MSV)	Keyword Difficulty (KD)	CPC (Cost Per Click)	Search Intent	Current Position
Caps Collections	Caps	Collections Page	unisex caps	Vintage & Embroidered Caps for Men & Women | Wild Donkey	Shop embroidered and vintage-style caps with relaxed fits. Made in Italy with chainstitch and pigment-dyed finishes.	Vintage & Embroidered Caps for Men & Women	Italian-Made Dad Caps with Retro Styling	/collections/caps	30	29	0.22	Transactional	
Caps Collections	Caps	Collections Page	womens vintage caps	Vintage & Embroidered Caps for Men & Women | Wild Donkey	Shop embroidered and vintage-style caps with relaxed fits. Made in Italy with chainstitch and pigment-dyed finishes.	Vintage & Embroidered Caps for Men & Women	Italian-Made Dad Caps with Retro Styling	/collections/caps	20	14	0.34	Transactional	
Tote Bags Collections	Bags	Collections Page	large tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	12100	36	0.34	Commercial	
Tote Bags Collections	Bags	Collections Page	canvas tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	9900	29	0.49	Commercial	
Tote Bags Collections	Bags	Collections Page	cotton tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	1900	19	0.64	Commercial	
Tote Bags Collections	Bags	Collections Page	vintage tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	480	12	0.45	Transactional	
Tote Bags Collections	Bags	Collections Page	retro tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	480	12	0.45	Transactional	
Tote Bags Collections	Bags	Collections Page	heavy duty tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	320	0	0.5	Transactional	
Tote Bags Collections	Bags	Collections Page	graphic tote bag	Large Cotton Canvas Tote Bags, Vintage & Heavy Duty Styles | Wild Donkey	Shop large canvas tote bags made from durable cotton. Handmade in Italy with retro graphics and vintage-inspired construction built to last.	Large & Vintage-Inspired Canvas Tote Bags	Durable Cotton Totes. Handmade in Italy for Everyday Use	/collections/tote-bags	210	20	0.71	Commercial	
Sale Page Collections	Sale	Collections Page	vintage clothing sale	Vintage Clothing & Accessories Sale | Wild Donkey Official Discounts	Save on archive favourites from Wild Donkey. Discover vintage clothing and accessories, discounted but still handmade in Italy.	Vintage Clothing & Accessories Sale	Shop Wild Donkey Discounts on Classic Fits & Archive Staples	/collections/sale	480	0	0.47	Commercial	
Sale Page Collections	Sale	Collections Page	vintage accessories sale	Vintage Clothing & Accessories Sale | Wild Donkey Official Discounts	Save on archive favourites from Wild Donkey. Discover vintage clothing and accessories, discounted but still handmade in Italy.	Vintage Clothing & Accessories Sale	Shop Wild Donkey Discounts on Classic Fits & Archive Staples	/collections/sale	10	15		Transactional	
Sale Page Collections	Sale	Collections Page	wild donkey sale	Vintage Clothing & Accessories Sale | Wild Donkey Official Discounts	Save on archive favourites from Wild Donkey. Discover vintage clothing and accessories, discounted but still handmade in Italy.	Vintage Clothing & Accessories Sale	Shop Wild Donkey Discounts on Classic Fits & Archive Staples	/collections/sale	0	10		Branded Intent	1
Sale Page Collections	Sale	Collections Page	wild donkey clothing sale	Vintage Clothing & Accessories Sale | Wild Donkey Official Discounts	Save on archive favourites from Wild Donkey. Discover vintage clothing and accessories, discounted but still handmade in Italy.	Vintage Clothing & Accessories Sale	Shop Wild Donkey Discounts on Classic Fits & Archive Staples	/collections/sale	0	10		Branded Intent	1
Sale Page Collections	Sale	Collections Page	wild donkey discount	Vintage Clothing & Accessories Sale | Wild Donkey Official Discounts	Save on archive favourites from Wild Donkey. Discover vintage clothing and accessories, discounted but still handmade in Italy.	Vintage Clothing & Accessories Sale	Shop Wild Donkey Discounts on Classic Fits & Archive Staples	/collections/sale	0	11		Branded Intent	2
New Arrivals Collections	New Arrivals	Collections Page	wild donkey new arrivals	New Arrivals at Wild Donkey – Vintage-Inspired Drops Just In	Explore the latest vintage-inspired styles just dropped at Wild Donkey. New jackets, tees, accessories and more, made in Italy with retro attitude.	New Arrivals: Fresh from the Wild Donkey Archive	Explore This Season's Vintage-Inspired Drops in Every Category	/collections/new	0	11		Branded Intent	1
Homepage	Brand Discovery	Homepage	vintage clothing	Wild Donkey: Vintage & Retro Clothing Made in Italy	Discover Wild Donkey’s vintage and retro-inspired clothing. Italian-made t-shirts, sweatshirts and more, crafted with artisan detail and nostalgic design.	Wild Donkey Vintage & Retro-Inspired Clothing	Italian-Made Apparel with a Nostalgic Edge	/	22200	54	0.46	Commercial	
Homepage	Brand Discovery	Homepage	retro clothing	Wild Donkey: Vintage & Retro Clothing Made in Italy	Discover Wild Donkey’s vintage and retro-inspired clothing. Italian-made t-shirts, sweatshirts and more, crafted with artisan detail and nostalgic design.	Wild Donkey Vintage & Retro-Inspired Clothing	Italian-Made Apparel with a Nostalgic Edge	/	1900	0	0.49	Commercial	
Homepage	Brand Discovery	Homepage	vintage t-shirts	Wild Donkey: Vintage & Retro Clothing Made in Italy	Discover Wild Donkey’s vintage and retro-inspired clothing. Italian-made t-shirts, sweatshirts and more, crafted with artisan detail and nostalgic design.	Wild Donkey Vintage & Retro-Inspired Clothing	Italian-Made Apparel with a Nostalgic Edge	/	210	26		Transactional	
Homepage	Brand Discovery	Homepage	italian made clothing	Wild Donkey: Vintage & Retro Clothing Made in Italy	Discover Wild Donkey’s vintage and retro-inspired clothing. Italian-made t-shirts, sweatshirts and more, crafted with artisan detail and nostalgic design.	Wild Donkey Vintage & Retro-Inspired Clothing	Italian-Made Apparel with a Nostalgic Edge	/	90	0	0.35	Commercial	
Homepage	Brand Discovery	Homepage	wild donkey clothing	Wild Donkey: Vintage & Retro Clothing Made in Italy	Discover Wild Donkey’s vintage and retro-inspired clothing. Italian-made t-shirts, sweatshirts and more, crafted with artisan detail and nostalgic design.	Wild Donkey Vintage & Retro-Inspired Clothing	Italian-Made Apparel with a Nostalgic Edge	/	20	0		Branded Intent	1
About Page	Brand Story	Content Page	americana vintage	About Wild Donkey, a Vintage Clothing Brand	Learn about Wild Donkey, the vintage-inspired brand rooted in Americana style and Italian craftsmanship. Discover our story.	About Wild Donkey	A Vintage Brand Built on Italian Craft and Americana Spirit	/pages/about-us	210	22		Informational	
About Page	Brand Story	Content Page	wild donkey clothing	About Wild Donkey, a Vintage Clothing Brand	Learn about Wild Donkey, the vintage-inspired brand rooted in Americana style and Italian craftsmanship. Discover our story.	About Wild Donkey	A Vintage Brand Built on Italian Craft and Americana Spirit	/pages/about-us	40	0		Branded Intent	1
About Page	Brand Story	Content Page	wild donkey company	About Wild Donkey, a Vintage Clothing Brand	Learn about Wild Donkey, the vintage-inspired brand rooted in Americana style and Italian craftsmanship. Discover our story.	About Wild Donkey	A Vintage Brand Built on Italian Craft and Americana Spirit	/pages/about-us	10	16		Branded Intent	1
FAQ Page	Customer Support	Content Page	wild donkey shipping	Shipping, Returns & Support – Wild Donkey FAQs	Find answers to your questions about shipping, returns, order tracking and more. Explore our FAQs and learn how Wild Donkey can help.	Wild Donkey FAQs	Shipping, Returns, Orders and Customer Support	/pages/faq		8		Branded Intent	1
FAQ Page	Customer Support	Content Page	wild donkey support	Shipping, Returns & Support – Wild Donkey FAQs	Find answers to your questions about shipping, returns, order tracking and more. Explore our FAQs and learn how Wild Donkey can help.	Wild Donkey FAQs	Shipping, Returns, Orders and Customer Support	/pages/faq		17		Branded Intent	1
FAQ Page	Customer Support	Content Page	wild donkey returns	Shipping, Returns & Support – Wild Donkey FAQs	Find answers to your questions about shipping, returns, order tracking and more. Explore our FAQs and learn how Wild Donkey can help.	Wild Donkey FAQs	Shipping, Returns, Orders and Customer Support	/pages/faq	0	25		Branded Intent	1
FAQ Page	Customer Support	Content Page	wild donkey faq	Shipping, Returns & Support – Wild Donkey FAQs	Find answers to your questions about shipping, returns, order tracking and more. Explore our FAQs and learn how Wild Donkey can help.	Wild Donkey FAQs	Shipping, Returns, Orders and Customer Support	/pages/faq		16		Branded Intent	1
